fighter_id;fighter_alternate_id;category;draws;imgUrl;losses;name;nickname;wins;status;placeOfBirth;trainsAt;fightingStyle;age;height;weight;octagonDebut;reach;legReach
;islam-makhachev;Lightweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/7/MAKHACHEV_ISLAM_L_BELT_01-18.png?itok=VptniX86;1;Islam Makhachev;;27;Active;Dagestan Republic, Russia;AKA (American Kickboxing Academy) San Jose;Sambo;33;177.8;154.50;May. 23, 2015;179.07;102.87
;jon-jones;Heavyweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/JONES_JON_L_BELT_11-16.png?itok=CUPv7ubQ;1;Jon Jones;Bones;28;Active;Rochester, United States;Team Jones;;37;193.04;237.60;Aug. 9, 2008;214.63;114.3
;ilia-topuria;Featherweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/TOPURIA_ILIA_L_BELT_10-26.png?itok=4a1uyWfc;0;Ilia Topuria;El  Matador;16;Active;Germany;;Brazilian Jiu-Jitsu;28;170.18;145.00;Oct. 10, 2020;175.26;93.98
;merab-dvalishvili;Bantamweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/7/DVALISHVILI_MERAB_L_BELT_01-18.png?itok=6d15Ml6s;4;Merab Dvalishvili;The Machine;19;Active;Tbilisi, Georgia;Team Serra/Longo;Freestyle;34;167.64000000000001;134.00;Dec. 9, 2017;172.72;96.52
;dricus-du-plessis;Middleweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-02/DU_PLESSIS_DRICUS_L_BELT_02-08.png?itok=MZTU4b4p;2;Dricus Du Plessis;Stillknocks;23;Active;Welkom, South Africa;CIT MMA;MMA;31;185.42000000000002;185.00;Oct. 10, 2020;193.04;109.22
;magomed-ankalaev;Light Heavyweight;1;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-03/ANKALAEV_MAGOMED_L_BELTMOCK.png?itok=oIT65vEA;1;Magomed Ankalaev;;21;Active;Russia;;MMA;32;190.5;205.00;Mar. 17, 2018;190.5;116.84
;belal-muhammad;Welterweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/MUHAMMAD_BELAL_L_BELTMOCK.png?itok=KkpJDuuw;3;Belal Muhammad;Remember The Name;24;Active;Chicago, United States;Roufusport, (Mikwaukee, WI) & Chicago Fight Team (Chicago, IL);;36;180.34;169.00;Jul. 7, 2016;182.88;101.6
;alex-pereira;Light Heavyweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-03/PEREIRA_ALEX_L.png?itok=3PF6Prac;3;Alex Pereira;Poatan;12;Active;Sao Bernardo do Campo, Brazil;Teixeira MMA & Fitness-Bethel, CT;Kickboxer;37;193.04;205.00;Nov. 6, 2021;200.66;111.76
;alexandre-pantoja;Flyweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/PANTOJA_ALEXANDRE_L_BELT_12-07.png?itok=NqCK2FLq;5;Alexandre Pantoja;The Cannibal;29;Active;Brazil;American Top Team;MMA;34;165.1;124.50;Jan. 29, 2017;170.18;92.71000000000001
;tom-aspinall;Heavyweight;0;https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/5/ASPINALL_TOM_BELT_L_07-27.png?itok=mpDy18w4;3;Tom Aspinall;;15;Active;Salford, England;Team Kaobon;Freestyle;31;195.58;255.00;Mar. 21, 2020;198.12;111.76
